DATE,CALL,PUT,TOTAL,P/C Ratio
3/15/2012,936819,818860,1755679,0.87
3/16/2012,821792,863998,1685790,1.05
3/19/2012,622139,965306,1587445,1.55
3/20/2012,424820,641681,1066501,1.51
3/21/2012,458435,698381,1156816,1.52
3/22/2012,498936,783469,1282405,1.57
3/23/2012,456734,712868,1169602,1.56
3/26/2012,500151,677672,1177823,1.35
3/27/2012,391897,560143,952040,1.43
3/28/2012,568534,715713,1284247,1.26
3/29/2012,474713,801623,1276336,1.69
3/30/2012,483950,765296,1249246,1.58
4/2/2012,409767,531567,941334,1.3
4/3/2012,390560,548496,939056,1.4
4/4/2012,501312,740770,1242082,1.48
4/5/2012,432890,597415,1030305,1.38
4/9/2012,446154,564834,1010988,1.27
4/10/2012,754720,1152352,1907072,1.53
4/11/2012,371574,814956,1186530,2.19
4/12/2012,569452,711000,1280452,1.25
4/13/2012,473687,685041,1158728,1.45
4/16/2012,383355,570241,953596,1.49
4/17/2012,389848,623958,1013806,1.6
4/18/2012,277171,562411,839582,2.03
4/19/2012,539220,899112,1438332,1.67
4/20/2012,655874,999485,1655359,1.52
4/23/2012,428228,576682,1004910,1.35
4/24/2012,288771,435542,724313,1.51
4/25/2012,394217,599739,993956,1.52
4/26/2012,366683,587343,954026,1.6
4/27/2012,346891,497169,844060,1.43
4/30/2012,278752,453663,732415,1.63
5/1/2012,357543,650168,1007711,1.82
5/2/2012,306847,590474,897321,1.92
5/3/2012,498628,720353,1218981,1.44
5/4/2012,606521,1032292,1638813,1.7
5/7/2012,354647,551636,906283,1.56
5/8/2012,602719,1036564,1639283,1.72
5/9/2012,846953,1127864,1974817,1.33
5/10/2012,391283,744994,1136277,1.9
5/11/2012,540679,1128221,1668900,2.09
5/14/2012,497084,885973,1383057,1.78
5/15/2012,486018,1006891,1492909,2.07
5/16/2012,588927,1303307,1892234,2.21
5/17/2012,827430,1561313,2388743,1.89
5/18/2012,969620,1645175,2614795,1.7
5/21/2012,526757,791016,1317773,1.5
5/22/2012,452210,794124,1246334,1.76
5/23/2012,667772,874240,1542012,1.31
5/24/2012,534439,720734,1255173,1.35
5/25/2012,393967,509453,903420,1.29
5/29/2012,341107,563538,904645,1.65
5/30/2012,417548,973500,1391048,2.33
5/31/2012,536500,727980,1264480,1.36
6/1/2012,851919,1753114,2605033,2.06
6/4/2012,614149,687185,1301334,1.12
6/5/2012,546799,681319,1228118,1.25
6/6/2012,612734,1008335,1621069,1.65
6/7/2012,650764,962363,1613127,1.48
6/8/2012,546838,707327,1254165,1.29
6/11/2012,412761,637240,1050001,1.54
6/12/2012,449041,858851,1307892,1.91
6/13/2012,454229,811060,1265289,1.79
6/14/2012,684402,857752,1542154,1.25
6/15/2012,855856,1029734,1885590,1.2
6/18/2012,444506,614975,1059481,1.38
6/19/2012,506972,1044717,1551689,2.06
6/20/2012,643939,799549,1443488,1.24
6/21/2012,655343,927251,1582594,1.41
6/22/2012,431999,697923,1129922,1.62
6/25/2012,467109,708000,1175109,1.52
6/26/2012,294671,462089,756760,1.57
6/27/2012,354508,481188,835696,1.36
6/28/2012,463593,693169,1156762,1.5
6/29/2012,860213,946752,1806965,1.1
7/2/2012,300039,447141,747180,1.49
7/3/2012,312656,382329,694985,1.22
7/5/2012,362437,509255,871692,1.41
7/6/2012,347916,648554,996470,1.86
7/9/2012,235021,381933,616954,1.63
7/10/2012,392479,794213,1186692,2.02
7/11/2012,283896,486276,770172,1.71
7/12/2012,394636,595486,990122,1.51
7/13/2012,365734,530167,895901,1.45
7/16/2012,258055,420336,678391,1.63
7/17/2012,444422,625570,1069992,1.41
7/18/2012,439609,596267,1035876,1.36
7/19/2012,501286,696608,1197894,1.39
7/20/2012,573124,885409,1458533,1.54
7/23/2012,419050,534580,953630,1.28
7/24/2012,438193,656167,1094360,1.5
7/25/2012,342568,635887,978455,1.86
7/26/2012,432099,662876,1094975,1.53
7/27/2012,709082,921619,1630701,1.3
7/30/2012,345762,425562,771324,1.23
7/31/2012,306692,378612,685304,1.23
8/1/2012,531562,662786,1194348,1.25
8/2/2012,552790,634826,1187616,1.15
8/3/2012,689100,679313,1368413,0.99
8/6/2012,357084,418909,775993,1.17
8/7/2012,314181,546457,860638,1.74
8/8/2012,279211,424198,703409,1.52
8/9/2012,287338,392071,679409,1.36
8/10/2012,278942,481517,760459,1.73
8/13/2012,320442,428180,748622,1.34
8/14/2012,485225,418092,903317,0.86
8/15/2012,314362,370938,685300,1.18
8/16/2012,568910,553113,1122023,0.97
8/17/2012,498378,589815,1088193,1.18
8/20/2012,294563,447337,741900,1.52
8/21/2012,431067,641374,1072441,1.49
8/22/2012,415316,671023,1086339,1.62
8/23/2012,457615,497173,954788,1.09
8/24/2012,502387,551125,1053512,1.1
8/27/2012,266591,299200,565791,1.12
8/28/2012,208408,254505,462913,1.22
8/29/2012,244149,417921,662070,1.71
8/30/2012,403278,529909,933187,1.31
8/31/2012,528175,513696,1041871,0.97
9/4/2012,315652,321032,636684,1.02
9/5/2012,338341,482730,821071,1.43
9/6/2012,601720,729927,1331647,1.21
9/7/2012,681717,603915,1285632,0.89
9/10/2012,399947,483199,883146,1.21
9/11/2012,356999,528858,885857,1.48
9/12/2012,469118,535547,1004665,1.14
9/13/2012,1035401,1047314,2082715,1.01
9/14/2012,1095622,856697,1952319,0.78
9/17/2012,445273,424510,869783,0.95
9/18/2012,532918,374106,907024,0.7
9/19/2012,513925,449792,963717,0.88
9/20/2012,595693,634220,1229913,1.06
9/21/2012,700929,713180,1414109,1.02
9/24/2012,417980,482247,900227,1.15
9/25/2012,450244,591564,1041808,1.31
9/26/2012,618116,633315,1251431,1.02
9/27/2012,440470,470135,910605,1.07
9/28/2012,480013,745673,1225686,1.55
10/1/2012,370765,439796,810561,1.19
10/2/2012,497055,373946,871001,0.75
10/3/2012,338574,384594,723168,1.14
10/4/2012,491511,468050,959561,0.95
10/5/2012,391941,582316,974257,1.49
10/8/2012,165077,248535,413612,1.51
10/9/2012,304191,506882,811073,1.67
10/10/2012,365571,578377,943948,1.58
10/11/2012,294048,383750,677798,1.31
10/12/2012,321406,468074,789480,1.46
10/15/2012,245260,321538,566798,1.31
10/16/2012,330453,436730,767183,1.32
10/17/2012,359583,455514,815097,1.27
10/18/2012,422367,588690,1011057,1.39
10/19/2012,791608,1137406,1929014,1.44
10/22/2012,313589,465637,779226,1.48
10/23/2012,421382,771081,1192463,1.83
10/24/2012,305641,426090,731731,1.39
10/25/2012,362347,560791,923138,1.55
10/26/2012,441590,523057,964647,1.18
10/31/2012,366881,429316,796197,1.17
11/1/2012,372030,536156,908186,1.44
11/2/2012,440561,690352,1130913,1.57
11/5/2012,373873,409622,783495,1.1
11/6/2012,461595,677328,1138923,1.47
11/7/2012,558674,1240264,1798938,2.22
11/8/2012,506322,826092,1332414,1.63
11/9/2012,487288,675360,1162648,1.39
11/12/2012,267472,431328,698800,1.61
11/13/2012,344461,572007,916468,1.66
11/14/2012,580278,865425,1445703,1.49
11/15/2012,573278,978453,1551731,1.71
11/16/2012,766614,1050485,1817099,1.37
11/19/2012,404325,468368,872693,1.16
11/20/2012,306978,387702,694680,1.26
11/21/2012,299233,340931,640164,1.14
11/23/2012,294431,331928,626359,1.13
11/26/2012,310873,359722,670595,1.16
11/27/2012,271491,336631,608122,1.24
11/28/2012,396403,547874,944277,1.38
11/29/2012,485790,709241,1195031,1.46
11/30/2012,364729,673821,1038550,1.85
12/3/2012,329994,445860,775854,1.35
12/4/2012,218405,383271,601676,1.75
12/5/2012,284484,493665,778149,1.74
12/6/2012,281810,316441,598251,1.12
12/7/2012,316497,435561,752058,1.38
12/10/2012,217226,325447,542673,1.5
12/11/2012,313511,531137,844648,1.69
12/12/2012,399893,375767,775660,0.94
12/13/2012,329376,392043,721419,1.19
12/14/2012,369085,397569,766654,1.08
12/17/2012,431952,359329,791281,0.83
12/18/2012,603131,773677,1376808,1.28
12/19/2012,438616,652202,1090818,1.49
12/20/2012,691318,555482,1246800,0.8
12/21/2012,673701,794819,1468520,1.18
12/24/2012,168901,195876,364777,1.16
12/26/2012,393203,390884,784087,0.99
12/27/2012,383662,589655,973317,1.54
12/28/2012,427306,643159,1070465,1.51
12/31/2012,517703,826815,1344518,1.6
1/2/2013,490690,719530,1210220,1.47
1/3/2013,394253,491066,885319,1.25
1/4/2013,326920,477610,804530,1.46
1/7/2013,222251,243424,465675,1.1
1/8/2013,223996,391220,615216,1.75
1/9/2013,171868,274645,446513,1.6
1/10/2013,292179,412151,704330,1.41
1/11/2013,272528,458687,731215,1.68
1/14/2013,221967,360989,582956,1.63
1/15/2013,252679,443388,696067,1.75
1/16/2013,204785,286514,491299,1.4
1/17/2013,427583,459725,887308,1.08
1/18/2013,519680,609899,1129579,1.17
1/22/2013,223779,316387,540166,1.41
1/23/2013,319857,456811,776668,1.43
1/24/2013,403803,650680,1054483,1.61
1/25/2013,390741,533044,923785,1.36
1/28/2013,237925,387956,625881,1.63
1/29/2013,258975,395808,654783,1.53
1/30/2013,273686,381644,655330,1.39
1/31/2013,262958,508206,771164,1.93
2/1/2013,551655,657649,1209304,1.19
2/4/2013,279900,483084,762984,1.73
2/5/2013,199646,507087,706733,2.54
2/6/2013,224214,413354,637568,1.84
2/7/2013,285267,487395,772662,1.71
2/8/2013,319407,429286,748693,1.34
2/11/2013,236654,549912,786566,2.32
2/12/2013,257227,435702,692929,1.69
2/13/2013,253884,599924,853808,2.36
2/14/2013,313736,544740,858476,1.74
2/15/2013,578330,677377,1255707,1.17
2/19/2013,248600,445313,693913,1.79
2/20/2013,427140,845992,1273132,1.98
2/21/2013,470149,807568,1277717,1.72
2/22/2013,423794,483996,907790,1.14
2/25/2013,557450,969311,1526761,1.74
2/26/2013,442334,1063000,1505334,2.4
2/27/2013,366548,495974,862522,1.35
2/28/2013,309627,492361,801988,1.59
3/1/2013,412150,780812,1192962,1.89
3/4/2013,225525,408824,634349,1.81
3/5/2013,411452,888123,1299575,2.16
3/6/2013,380068,464586,844654,1.22
3/7/2013,474855,482554,957409,1.02
3/8/2013,555420,747426,1302846,1.35
3/11/2013,359879,459727,819606,1.28
3/12/2013,372445,789202,1161647,2.12
3/13/2013,297541,407545,705086,1.37
3/14/2013,474031,429913,903944,0.91
3/15/2013,605531,698745,1304276,1.15
3/18/2013,372183,576470,948653,1.55
3/19/2013,452304,845063,1297367,1.87
3/20/2013,346002,558797,904799,1.62
3/21/2013,336091,565243,901334,1.68
3/22/2013,355785,580269,936054,1.63
3/25/2013,425202,645640,1070842,1.52
3/26/2013,265560,333577,599137,1.26
3/27/2013,275763,547275,823038,1.98
3/28/2013,342549,468466,811015,1.37
4/1/2013,268577,527512,796089,1.96
4/2/2013,261248,493689,754937,1.89
4/3/2013,479997,814109,1294106,1.7
4/4/2013,465965,728698,1194663,1.56
4/5/2013,539811,875840,1415651,1.62
4/8/2013,314324,528640,842964,1.68
4/9/2013,391774,527039,918813,1.35
4/10/2013,628043,872752,1500795,1.39
4/11/2013,483394,729294,1212688,1.51
4/12/2013,444289,880896,1325185,1.98
4/15/2013,690451,1387929,2078380,2.01
4/16/2013,394733,744046,1138779,1.88
4/17/2013,611566,1206398,1817964,1.97
4/18/2013,556354,1002710,1559064,1.8
4/19/2013,638155,927684,1565839,1.45
4/22/2013,330529,614200,944729,1.86
4/23/2013,416863,564624,981487,1.35
4/24/2013,311791,473540,785331,1.52
4/25/2013,91251,84592,175843,0.93
4/26/2013,468398,538609,1007007,1.15
4/29/2013,329842,497406,827248,1.51
4/30/2013,320882,555939,876821,1.73
5/1/2013,409255,670931,1080186,1.64
5/2/2013,319383,549277,868660,1.72
5/3/2013,614953,821460,1436413,1.34
5/6/2013,312252,407508,719760,1.31
5/7/2013,345826,423353,769179,1.22
5/8/2013,412974,560152,973126,1.36
5/9/2013,363669,766719,1130388,2.11
5/10/2013,595996,699504,1295500,1.17
5/13/2013,292129,418811,710940,1.43
5/14/2013,581687,632769,1214456,1.09
5/15/2013,578479,855060,1433539,1.48
5/16/2013,511000,738841,1249841,1.45
5/17/2013,772208,864596,1636804,1.12
5/20/2013,430630,531676,962306,1.23
5/21/2013,289830,561048,850878,1.94
5/22/2013,742549,1212948,1955497,1.63
5/23/2013,521315,829685,1351000,1.59
5/24/2013,455159,726968,1182127,1.6
5/28/2013,476764,750472,1227236,1.57
5/29/2013,340473,598619,939092,1.76
5/30/2013,379491,632822,1012313,1.67
5/31/2013,462440,859309,1321749,1.86
6/3/2013,616938,830996,1447934,1.35
6/4/2013,386987,767457,1154444,1.98
6/5/2013,586083,1012943,1599026,1.73
6/6/2013,685063,1102757,1787820,1.61
6/7/2013,596851,1049971,1646822,1.76
6/10/2013,335547,729925,1065472,2.18
6/11/2013,386332,741971,1128303,1.92
6/12/2013,574297,1036316,1610613,1.8
6/13/2013,545476,676927,1222403,1.24
6/14/2013,455254,799635,1254889,1.76
6/17/2013,343286,527741,871027,1.54
6/18/2013,445617,694765,1140382,1.56
6/19/2013,644318,1060355,1704673,1.65
6/20/2013,1105317,2251738,3357055,2.04
6/21/2013,960254,1519398,2479652,1.58
6/24/2013,729648,921349,1650997,1.26
6/25/2013,384452,607443,991895,1.58
6/26/2013,479298,589386,1068684,1.23
6/27/2013,598360,759858,1358218,1.27
6/28/2013,579181,674777,1253958,1.17
7/1/2013,390329,519335,909664,1.33
7/2/2013,395728,640821,1036549,1.62
7/3/2013,265971,394260,660231,1.48
7/5/2013,652786,752600,1405386,1.15
7/8/2013,335441,644043,979484,1.92
7/9/2013,400090,934212,1334302,2.34
7/10/2013,462939,912343,1375282,1.97
7/11/2013,630750,872338,1503088,1.38
7/12/2013,458789,789626,1248415,1.72
7/15/2013,330870,484603,815473,1.46
7/16/2013,380069,626737,1006806,1.65
7/17/2013,384821,596241,981062,1.55
7/18/2013,531473,596786,1128259,1.12
7/19/2013,461727,648188,1109915,1.4
7/22/2013,359790,459493,819283,1.28
7/23/2013,339368,572713,912081,1.69
7/24/2013,375719,601652,977371,1.6
7/25/2013,300012,609449,909461,2.03
7/26/2013,411483,554754,966237,1.35
7/29/2013,256271,309982,566253,1.21
7/30/2013,285817,412897,698714,1.44
7/31/2013,506349,667130,1173479,1.32
8/1/2013,542667,655667,1198334,1.21
8/2/2013,480807,547574,1028381,1.14
8/5/2013,252625,368226,620851,1.46
8/6/2013,309673,997489,1307162,3.22
8/7/2013,316816,568310,885126,1.79
8/8/2013,415229,472671,887900,1.14
8/9/2013,379039,553637,932676,1.46
8/12/2013,304805,443625,748430,1.46
8/13/2013,356748,534266,891014,1.5
8/14/2013,338426,512209,850635,1.51
8/15/2013,829544,1235182,2064726,1.49
8/16/2013,697250,1026780,1724030,1.47
8/19/2013,362088,503933,866021,1.39
8/20/2013,361773,729710,1091483,2.02
8/21/2013,478035,783832,1261867,1.64
8/22/2013,344535,403410,747945,1.17
8/23/2013,485032,456259,941291,0.94
8/26/2013,334614,483742,818356,1.45
8/27/2013,641632,796058,1437690,1.24
8/28/2013,439105,443684,882789,1.01
8/29/2013,376552,586594,963146,1.56
8/30/2013,469674,827520,1297194,1.76
9/3/2013,342205,398430,740635,1.16
9/4/2013,281418,451770,733188,1.61
9/5/2013,344356,440575,784931,1.28
9/6/2013,510528,690295,1200823,1.35
9/9/2013,389637,493576,883213,1.27
9/10/2013,461453,768420,1229873,1.67
9/11/2013,320623,460995,781618,1.44
9/12/2013,408432,599418,1007850,1.47
9/13/2013,462797,506640,969437,1.09
9/16/2013,397789,611723,1009512,1.54
9/17/2013,378566,456469,835035,1.21
9/18/2013,1119098,1255304,2374402,1.12
9/19/2013,738168,806360,1544528,1.09
9/20/2013,473066,991538,1464604,2.1
9/23/2013,336065,479753,815818,1.43
9/24/2013,257103,447661,704764,1.74
9/25/2013,285914,503406,789320,1.76
9/26/2013,322757,407692,730449,1.26
9/27/2013,524716,726042,1250758,1.38
9/30/2013,440968,825860,1266828,1.87
10/1/2013,323081,536528,859609,1.66
10/2/2013,369871,431716,801587,1.17
10/3/2013,691130,1042385,1733515,1.51
10/4/2013,441616,507836,949452,1.15
10/7/2013,437912,649303,1087215,1.48
10/8/2013,644129,1073830,1717959,1.67
10/9/2013,595755,1712424,2308179,2.87
10/10/2013,608052,891019,1499071,1.47
10/11/2013,500304,756248,1256552,1.51
10/14/2013,392818,535743,928561,1.36
10/15/2013,368927,867299,1236226,2.35
10/16/2013,538877,826913,1365790,1.53
10/17/2013,746845,969289,1716134,1.3
10/18/2013,717656,742233,1459889,1.03
10/21/2013,313499,471058,784557,1.5
10/22/2013,488372,710602,1198974,1.46
10/23/2013,277808,415583,693391,1.5
10/24/2013,338836,436260,775096,1.29
10/25/2013,365915,554891,920806,1.52
10/28/2013,310173,355777,665950,1.15
10/29/2013,328053,388242,716295,1.18
10/30/2013,387720,797291,1185011,2.06
10/31/2013,321911,498080,819991,1.55
11/1/2013,398010,664370,1062380,1.67
11/4/2013,283428,440140,723568,1.55
11/5/2013,238149,462453,700602,1.94
11/6/2013,284061,551438,835499,1.94
11/7/2013,568759,1131917,1700676,1.99
11/8/2013,655460,882475,1537935,1.35
11/11/2013,179479,394101,573580,2.2
11/12/2013,387859,573518,961377,1.48
11/13/2013,389886,616187,1006073,1.58
11/14/2013,593007,632648,1225655,1.07
11/15/2013,595325,546052,1141377,0.92
11/18/2013,462048,516688,978736,1.12
11/19/2013,384214,562133,946347,1.46
11/20/2013,381057,590110,971167,1.55
11/21/2013,326562,463627,790189,1.42
11/22/2013,392621,482872,875493,1.23
11/25/2013,340828,342011,682839,1
11/26/2013,326106,425257,751363,1.3
11/27/2013,277341,376042,653383,1.36
11/29/2013,212909,228092,441001,1.07
12/2/2013,362153,441687,803840,1.22
12/3/2013,366558,510287,876845,1.39
12/4/2013,375031,500634,875665,1.33
12/5/2013,377822,408721,786543,1.08
12/6/2013,479288,579449,1058737,1.21
12/9/2013,255812,370562,626374,1.45
12/10/2013,339517,287794,627311,0.85
12/11/2013,487661,670197,1157858,1.37
12/12/2013,532424,527110,1059534,0.99
12/13/2013,504816,419893,924709,0.83
12/16/2013,274719,431791,706510,1.57
12/17/2013,416694,602126,1018820,1.45
12/18/2013,804871,825634,1630505,1.03
12/19/2013,611952,625225,1237177,1.02
12/20/2013,918216,709064,1627280,0.77
12/23/2013,491457,363252,854709,0.74
12/24/2013,264984,219605,484589,0.83
12/26/2013,492786,317728,810514,0.64
12/27/2013,318463,412389,730852,1.29
12/30/2013,329888,466799,796687,1.42
12/31/2013,508010,474750,982760,0.93
1/2/2014,558659,442877,1001536,0.79
1/3/2014,391318,503356,894674,1.29
1/6/2014,324385,409093,733478,1.26
1/7/2014,317162,427440,744602,1.35
1/8/2014,397603,407347,804950,1.02
1/9/2014,388877,517392,906269,1.33
1/10/2014,455955,596183,1052138,1.31
1/13/2014,470103,548053,1018156,1.17
1/14/2014,341921,426408,768329,1.25
1/15/2014,635745,932823,1568568,1.47
1/16/2014,400790,569901,970691,1.42
1/17/2014,535621,681687,1217308,1.27
1/21/2014,286313,431610,717923,1.51
1/22/2014,272163,385448,657611,1.42
1/23/2014,489709,709569,1199278,1.45
1/24/2014,853892,1140541,1994433,1.34
1/27/2014,644747,978120,1622867,1.52
1/28/2014,422338,590412,1012750,1.4
1/29/2014,630020,828305,1458325,1.31
1/30/2014,639315,706060,1345375,1.1
1/31/2014,621400,1051739,1673139,1.69
2/3/2014,996297,1334312,2330609,1.34
2/4/2014,619475,918406,1537881,1.48
2/5/2014,597017,986527,1583544,1.65
2/6/2014,530935,814623,1345558,1.53
2/7/2014,728706,900936,1629642,1.24
2/10/2014,338338,487609,825947,1.44
2/11/2014,669996,682141,1352137,1.02
2/12/2014,488614,549400,1038014,1.12
2/13/2014,539782,591633,1131415,1.1
2/14/2014,720256,737076,1457332,1.02
2/18/2014,457798,514927,972725,1.12
2/19/2014,671858,1046284,1718142,1.56
2/20/2014,440674,732523,1173197,1.66
2/21/2014,673625,588666,1262291,0.87
2/24/2014,614200,722937,1337137,1.18
2/25/2014,364380,631763,996143,1.73
2/26/2014,401085,658247,1059332,1.64
2/27/2014,369883,588642,958525,1.59
2/28/2014,668966,750574,1419540,1.12
3/3/2014,421135,748566,1169701,1.78
3/4/2014,513418,676134,1189552,1.32
3/5/2014,265322,373874,639196,1.41
3/6/2014,670533,712616,1383149,1.06
3/7/2014,511945,669029,1180974,1.31
3/10/2014,298946,528693,827639,1.77
3/11/2014,333098,542543,875641,1.63
3/12/2014,424370,614700,1039070,1.45
3/13/2014,565103,1186886,1751989,2.1
3/14/2014,623864,995016,1618880,1.59
3/17/2014,407314,619331,1026645,1.52
3/18/2014,383365,575747,959112,1.5
3/19/2014,473877,695990,1169867,1.47
3/20/2014,737107,574391,1311498,0.78
3/21/2014,627158,852489,1479647,1.36
3/24/2014,433009,647344,1080353,1.49
3/25/2014,325027,442982,768009,1.36
3/26/2014,411094,781219,1192313,1.9
3/27/2014,519894,601006,1120900,1.16
3/28/2014,421695,743657,1165352,1.76
3/31/2014,309340,672339,981679,2.17
4/1/2014,380480,583650,964130,1.53
4/2/2014,367883,439221,807104,1.19
4/3/2014,357175,531618,888793,1.49
4/4/2014,801405,1309376,2110781,1.63
4/7/2014,437072,913064,1350136,2.09
4/8/2014,405641,679619,1085260,1.68
4/9/2014,1105688,678299,1783987,0.61
4/10/2014,623788,1132926,1756714,1.82
4/11/2014,666612,1395363,2061975,2.09
4/14/2014,437682,663774,1101456,1.52
4/15/2014,567105,1112952,1680057,1.96
4/16/2014,542084,876854,1418938,1.62
4/17/2014,755567,960573,1716140,1.27
4/21/2014,264385,398832,663217,1.51
4/22/2014,342060,548112,890172,1.6
4/23/2014,226907,511030,737937,2.25
4/24/2014,443415,441845,885260,1
4/25/2014,445000,939387,1384387,2.11
4/28/2014,353710,588033,941743,1.66
4/29/2014,291281,510022,801303,1.75
4/30/2014,305027,521650,826677,1.71
5/1/2014,310908,557597,868505,1.79
5/2/2014,510685,769901,1280586,1.51
5/5/2014,279798,374654,654452,1.34
5/6/2014,279881,582098,861979,2.08
5/7/2014,484111,701014,1185125,1.45
5/8/2014,387843,695531,1083374,1.79
5/9/2014,381334,698531,1079865,1.83
5/12/2014,381962,720135,1102097,1.89
5/13/2014,385526,592717,978243,1.54
5/14/2014,338074,555845,893919,1.64
5/15/2014,725928,1059207,1785135,1.46
5/16/2014,532907,707842,1240749,1.33
5/19/2014,318526,401982,720508,1.26
5/20/2014,263593,410726,674319,1.56
5/21/2014,335572,684411,1019983,2.04
5/22/2014,374472,473369,847841,1.26
5/23/2014,448030,608398,1056428,1.36
5/27/2014,702210,589918,1292128,0.84
5/28/2014,288071,524230,812301,1.82
5/29/2014,415736,480931,896667,1.16
5/30/2014,479854,740790,1220644,1.54
6/2/2014,812952,421375,1234327,0.52
6/3/2014,340685,452802,793487,1.33
6/4/2014,486524,735936,1222460,1.51
6/5/2014,572469,715660,1288129,1.25
6/6/2014,587226,977717,1564943,1.66
6/9/2014,432390,660661,1093051,1.53
6/10/2014,341743,406039,747782,1.19
6/11/2014,282951,405485,688436,1.43
6/12/2014,420308,720371,1140679,1.71
6/13/2014,330483,592958,923441,1.79
6/16/2014,313793,395127,708920,1.26
6/17/2014,496758,637165,1133923,1.28
6/18/2014,441633,681928,1123561,1.54
6/19/2014,776714,559322,1336036,0.72
6/20/2014,537535,782486,1320021,1.46
6/23/2014,257256,520166,777422,2.02
6/24/2014,369610,657991,1027601,1.78
6/25/2014,253689,507955,761644,2
6/26/2014,277158,531014,808172,1.92
6/27/2014,328947,406403,735350,1.24
6/30/2014,306036,396599,702635,1.3
7/1/2014,384326,739058,1123384,1.92
7/2/2014,350841,526451,877292,1.5
7/3/2014,330534,598640,929174,1.81
7/7/2014,234658,502371,737029,2.14
7/8/2014,390462,855036,1245498,2.19
7/9/2014,349126,470886,820012,1.35
7/10/2014,379499,787309,1166808,2.07
7/11/2014,393174,501025,894199,1.27
7/14/2014,271571,479326,750897,1.77
7/15/2014,416868,597968,1014836,1.43
7/16/2014,281902,443982,725884,1.57
7/17/2014,541326,1281439,1822765,2.37
7/18/2014,556881,894531,1451412,1.61
7/21/2014,265387,434612,699999,1.64
7/22/2014,401871,688222,1090093,1.71
7/23/2014,296634,379896,676530,1.28
7/24/2014,309718,413198,722916,1.33
7/25/2014,396993,503228,900221,1.27
7/28/2014,327825,554492,882317,1.69
7/29/2014,313065,464770,777835,1.48
7/30/2014,435139,992809,1427948,2.28
7/31/2014,652642,1570877,2223519,2.41
8/1/2014,669230,1222016,1891246,1.83
8/4/2014,323613,611829,935442,1.89
8/5/2014,370048,837816,1207864,2.26
8/6/2014,430989,728969,1159958,1.69
8/7/2014,478397,683073,1161470,1.43
8/8/2014,463720,737971,1201691,1.59
8/11/2014,364164,548268,912432,1.51
8/12/2014,244864,473317,718181,1.93
8/13/2014,392911,703197,1096108,1.79
8/14/2014,294254,495444,789698,1.68
8/15/2014,746608,1070173,1816781,1.43
8/18/2014,373695,630774,1004469,1.69
8/19/2014,298432,605502,903934,2.03
8/20/2014,266950,576318,843268,2.16
8/21/2014,402363,445124,847487,1.11
8/22/2014,318516,683745,1002261,2.15
8/25/2014,268855,453413,722268,1.69
8/26/2014,258068,408491,666559,1.58
8/27/2014,323516,496548,820064,1.53
8/28/2014,221955,866576,1088531,3.9
8/29/2014,425807,533778,959585,1.25
9/2/2014,297926,526660,824586,1.77
9/3/2014,262457,630949,893406,2.4
9/4/2014,417597,808403,1226000,1.94
9/5/2014,439933,793931,1233864,1.8
9/8/2014,365998,493041,859039,1.35
9/9/2014,383755,603756,987511,1.57
9/10/2014,357641,660543,1018184,1.85
9/11/2014,364481,723420,1087901,1.98
9/12/2014,535696,864786,1400482,1.61
9/15/2014,331512,560309,891821,1.69
9/16/2014,469106,735088,1204194,1.57
9/17/2014,584683,970571,1555254,1.66
9/18/2014,555136,782051,1337187,1.41
9/19/2014,590421,1008476,1598897,1.71
9/22/2014,426670,814386,1241056,1.91
9/23/2014,442788,760464,1203252,1.72
9/24/2014,432581,696916,1129497,1.61
9/25/2014,483297,1122412,1605709,2.32
9/26/2014,428263,1068934,1497197,2.5
9/29/2014,412286,779137,1191423,1.89
9/30/2014,468974,896692,1365666,1.91
10/1/2014,627355,1353833,1981188,2.16
10/2/2014,677195,1220251,1897446,1.8
10/3/2014,547664,898261,1445925,1.64
10/6/2014,399303,586119,985422,1.47
10/7/2014,537396,835463,1372859,1.55
10/8/2014,915001,1210686,2125687,1.32
10/9/2014,1090929,1480290,2571219,1.36
10/10/2014,820857,1651557,2472414,2.01
10/13/2014,779997,1978568,2758565,2.54
10/14/2014,660808,1324233,1985041,2
10/15/2014,1000491,2176968,3177459,2.18
10/16/2014,709137,1297019,2006156,1.83
10/17/2014,830389,1355683,2186072,1.63
10/20/2014,522497,579408,1101905,1.11
10/21/2014,835831,1011546,1847377,1.21
10/22/2014,790692,1146527,1937219,1.45
10/23/2014,793392,982997,1776389,1.24
10/24/2014,641170,861454,1502624,1.34
10/27/2014,499473,591357,1090830,1.18
10/28/2014,456675,739208,1195883,1.62
10/29/2014,491883,759980,1251863,1.55
10/30/2014,414862,727769,1142631,1.75
10/31/2014,882621,883193,1765814,1
11/3/2014,443015,469037,912052,1.06
11/4/2014,385057,488947,874004,1.27
11/5/2014,326296,458368,784664,1.4
11/6/2014,528323,590167,1118490,1.12
11/7/2014,400855,629061,1029916,1.57
11/10/2014,336716,627730,964446,1.86
11/11/2014,264690,557658,822348,2.11
11/12/2014,298003,407485,705488,1.37
11/13/2014,357487,612371,969858,1.71
11/14/2014,374954,605273,980227,1.61
11/17/2014,268017,381397,649414,1.42
11/18/2014,531492,567914,1099406,1.07
11/19/2014,384388,621811,1006199,1.62
11/20/2014,374465,536592,911057,1.43
